point_index,x,y,arc_length_px
0,843.000,220.000,0.000
1,842.982,220.059,0.062
2,842.947,220.128,0.139
3,842.897,220.206,0.232
4,842.831,220.295,0.342
5,842.749,220.393,0.470
6,842.652,220.501,0.615
7,842.541,220.619,0.778
8,842.414,220.746,0.957
9,842.273,220.882,1.153
10,842.117,221.028,1.367
11,841.947,221.183,1.596
12,841.764,221.347,1.843
13,841.566,221.521,2.105
14,841.356,221.703,2.384
15,841.131,221.894,2.679
16,840.894,222.094,2.989
17,840.644,222.303,3.314
18,840.382,222.520,3.655
19,840.107,222.746,4.011
20,839.820,222.980,4.381
21,839.521,223.223,4.766
22,839.211,223.474,5.166
23,838.888,223.733,5.579
24,838.555,224.000,6.006
25,838.211,224.275,6.447
26,837.855,224.559,6.902
27,837.490,224.850,7.369
28,837.113,225.149,7.849
29,836.727,225.455,8.343
30,836.331,225.769,8.848
31,835.925,226.091,9.366
32,835.510,226.420,9.896
33,835.085,226.756,10.438
34,834.651,227.100,10.991
35,834.209,227.451,11.556
36,833.758,227.808,12.132
37,833.298,228.173,12.718
38,832.830,228.545,13.316
39,832.355,228.923,13.924
40,831.872,229.309,14.542
41,831.381,229.701,15.170
42,830.883,230.099,15.807
43,830.378,230.504,16.455
44,829.866,230.915,17.111
45,829.347,231.333,17.777
46,828.823,231.756,18.452
47,828.292,232.186,19.135
48,827.755,232.622,19.826
49,827.212,233.064,20.526
50,826.664,233.512,21.234
51,826.111,233.965,21.949
52,825.552,234.425,22.672
53,824.989,234.889,23.402
54,824.421,235.360,24.140
55,823.849,235.835,24.884
56,823.273,236.316,25.635
57,822.692,236.803,26.392
58,822.108,237.294,27.155
59,821.521,237.791,27.924
60,820.930,238.292,28.699
61,820.336,238.799,29.479
62,819.740,239.310,30.265
63,819.141,239.826,31.056
64,818.539,240.346,31.851
65,817.935,240.872,32.652
66,817.330,241.401,33.456
67,816.722,241.935,34.265
68,816.113,242.473,35.078
69,815.503,243.016,35.894
70,814.892,243.563,36.714
71,814.280,244.113,37.537
72,813.667,244.668,38.364
73,813.054,245.226,39.193
74,812.441,245.789,40.025
75,811.828,246.355,40.859
76,811.215,246.924,41.696
77,810.603,247.497,42.535
78,809.991,248.074,43.375
79,809.381,248.654,44.217
80,808.771,249.237,45.061
81,808.163,249.823,45.905
82,807.557,250.413,46.751
83,806.952,251.005,47.597
84,806.350,251.600,48.444
85,805.750,252.198,49.292
86,805.152,252.799,50.139
87,804.557,253.403,50.987
88,803.965,254.009,51.834
89,803.376,254.617,52.681
90,802.790,255.228,53.527
91,802.209,255.841,54.372
92,801.631,256.457,55.217
93,801.057,257.074,56.060
94,800.487,257.694,56.901
95,799.922,258.315,57.741
96,799.361,258.939,58.580
97,798.806,259.564,59.416
98,798.255,260.191,60.250
99,797.710,260.819,61.082
100,797.171,261.449,61.912
101,796.638,262.081,62.738
102,796.110,262.714,63.562
103,795.589,263.348,64.383
104,795.074,263.983,65.200
105,794.566,264.619,66.015
106,794.065,265.257,66.825
107,793.571,265.895,67.632
108,793.085,266.534,68.435
109,792.606,267.174,69.235
110,792.135,267.814,70.030
111,791.672,268.455,70.820
112,791.217,269.097,71.607
113,790.771,269.739,72.388
114,790.334,270.381,73.165
115,789.905,271.023,73.938
116,789.486,271.666,74.705
117,789.076,272.309,75.467
118,788.676,272.951,76.224
119,788.285,273.594,76.976
120,787.905,274.236,77.723
121,787.534,274.878,78.464
122,787.175,275.519,79.199
123,786.826,276.161,79.929
124,786.488,276.801,80.654
125,786.161,277.441,81.372
126,785.845,278.080,82.085
127,785.541,278.718,82.792
128,785.249,279.356,83.493
129,784.969,279.992,84.188
130,784.701,280.628,84.878
131,784.446,281.262,85.562
132,784.204,281.895,86.239
133,783.974,282.527,86.911
134,783.758,283.157,87.578
135,783.554,283.785,88.238
136,783.365,284.412,88.894
137,783.189,285.038,89.543
138,783.028,285.661,90.187
139,782.880,286.283,90.826
140,782.748,286.903,91.460
141,782.629,287.521,92.089
142,782.526,288.136,92.713
143,782.438,288.750,93.333
144,782.366,289.361,93.949
145,782.309,289.970,94.560
146,782.267,290.576,95.168
147,782.242,291.180,95.772
148,782.233,291.781,96.373
149,782.241,292.379,96.972
150,782.265,292.975,97.568
151,782.306,293.568,98.162
152,782.365,294.157,98.754
153,782.440,294.744,99.346
154,782.534,295.327,99.937
155,782.645,295.908,100.528
156,782.774,296.485,101.119
157,782.922,297.058,101.711
158,783.088,297.628,102.304
159,783.272,298.194,102.900
160,783.476,298.757,103.499
161,783.699,299.316,104.100
162,783.941,299.871,104.706
163,784.202,300.422,105.316
164,784.482,300.970,105.931
165,784.780,301.513,106.551
166,785.093,302.053,107.175
167,785.421,302.590,107.804
168,785.762,303.124,108.438
169,786.115,303.655,109.076
170,786.479,304.184,109.717
171,786.852,304.710,110.361
172,787.232,305.233,111.008
173,787.619,305.754,111.658
174,788.011,306.274,112.308
175,788.407,306.791,112.960
176,788.805,307.307,113.612
177,789.204,307.822,114.263
178,789.603,308.335,114.913
179,790.000,308.848,115.562
180,790.395,309.359,116.207
181,790.784,309.870,116.850
182,791.169,310.381,117.489
183,791.546,310.891,118.123
184,791.914,311.401,118.753
185,792.273,311.911,119.376
186,792.621,312.421,119.994
187,792.957,312.932,120.605
188,793.278,313.444,121.209
189,793.586,313.956,121.807
190,793.880,314.469,122.398
191,794.161,314.982,122.983
192,794.427,315.496,123.563
193,794.681,316.011,124.137
194,794.921,316.527,124.705
195,795.148,317.043,125.269
196,795.362,317.560,125.829
197,795.564,318.078,126.384
198,795.752,318.596,126.936
199,795.928,319.115,127.484
200,796.091,319.635,128.028
201,796.242,320.155,128.570
202,796.380,320.676,129.109
203,796.507,321.198,129.646
204,796.621,321.721,130.181
205,796.723,322.244,130.714
206,796.814,322.768,131.246
207,796.893,323.292,131.777
208,796.961,323.818,132.306
209,797.017,324.344,132.835
210,797.061,324.871,133.364
211,797.095,325.398,133.893
212,797.117,325.926,134.421
213,797.129,326.455,134.950
214,797.130,326.985,135.480
215,797.120,327.515,136.011
216,797.100,328.047,136.542
217,797.069,328.578,137.075
218,797.028,329.111,137.609
219,796.976,329.644,138.145
220,796.915,330.178,138.683
221,796.844,330.713,139.222
222,796.762,331.249,139.764
223,796.672,331.785,140.308
224,796.571,332.322,140.854
225,796.461,332.860,141.403
226,796.342,333.399,141.955
227,796.214,333.938,142.509
228,796.077,334.478,143.066
229,795.930,335.019,143.627
230,795.775,335.561,144.190
231,795.611,336.103,144.756
232,795.439,336.646,145.326
233,795.258,337.190,145.899
234,795.069,337.735,146.476
235,794.871,338.280,147.056
236,794.666,338.826,147.640
237,794.453,339.373,148.227
238,794.231,339.921,148.818
239,794.002,340.469,149.412
240,793.766,341.019,150.010
241,793.522,341.569,150.612
242,793.270,342.120,151.217
243,793.012,342.671,151.827
244,792.746,343.224,152.440
245,792.474,343.777,153.056
246,792.194,344.331,153.677
247,791.908,344.886,154.301
248,791.615,345.442,154.929
249,791.316,345.998,155.561
250,791.010,346.555,156.197
251,790.699,347.113,156.836
252,790.381,347.672,157.479
253,790.057,348.232,158.126
254,789.727,348.792,158.776
255,789.392,349.354,159.430
256,789.051,349.916,160.087
257,788.704,350.479,160.748
258,788.352,351.043,161.413
259,787.995,351.607,162.081
260,787.633,352.173,162.752
261,787.265,352.739,163.427
262,786.893,353.306,164.106
263,786.516,353.874,164.787
264,786.135,354.442,165.472
265,785.749,355.012,166.160
266,785.359,355.582,166.851
267,784.964,356.154,167.545
268,784.565,356.726,168.243
269,784.162,357.299,168.943
270,783.756,357.872,169.646
271,783.346,358.447,170.352
272,782.932,359.022,171.061
273,782.514,359.599,171.773
274,782.093,360.176,172.487
275,781.669,360.754,173.204
276,781.242,361.333,173.923
277,780.812,361.912,174.645
278,780.378,362.493,175.370
279,779.942,363.074,176.097
280,779.504,363.657,176.826
281,779.063,364.240,177.557
282,778.619,364.824,178.290
283,778.174,365.409,179.025
284,777.726,365.995,179.763
285,777.276,366.581,180.502
286,776.824,367.169,181.243
287,776.370,367.757,181.986
288,775.915,368.347,182.731
289,775.458,368.937,183.477
290,775.000,369.528,184.225
291,774.541,370.120,184.975
292,774.080,370.713,185.725
293,773.619,371.307,186.477
294,773.156,371.901,187.231
295,772.693,372.497,187.985
296,772.229,373.093,188.741
297,771.764,373.691,189.498
298,771.299,374.289,190.256
299,770.834,374.888,191.014
300,770.369,375.488,191.774
301,769.903,376.089,192.534
302,769.438,376.691,193.295
303,768.973,377.294,194.056
304,768.508,377.898,194.818
305,768.043,378.503,195.580
306,767.580,379.108,196.343
307,767.116,379.715,197.106
308,766.654,380.322,197.870
309,766.193,380.931,198.633
310,765.732,381.540,199.397
311,765.273,382.150,200.161
312,764.816,382.761,200.924
313,764.359,383.373,201.688
314,763.904,383.986,202.451
315,763.451,384.600,203.214
316,763.000,385.215,203.977
317,762.551,385.831,204.739
318,762.103,386.448,205.501
319,761.658,387.066,206.263
320,761.215,387.684,207.023
321,760.775,388.304,207.784
322,760.337,388.925,208.543
323,759.902,389.546,209.302
324,759.470,390.169,210.060
325,759.040,390.792,210.817
326,758.614,391.417,211.573
327,758.190,392.042,212.328
328,757.770,392.669,213.083
329,757.354,393.296,213.836
330,756.941,393.924,214.587
331,756.532,394.554,215.338
332,756.126,395.184,216.088
333,755.724,395.815,216.836
334,755.327,396.448,217.583
335,754.933,397.081,218.328
336,754.544,397.715,219.072
337,754.160,398.350,219.815
338,753.779,398.986,220.556
339,753.404,399.624,221.296
340,753.033,400.262,222.034
341,752.667,400.901,222.770
342,752.306,401.541,223.505
343,751.950,402.182,224.239
344,751.600,402.825,224.970
345,751.255,403.468,225.700
346,750.915,404.112,226.428
347,750.581,404.757,227.155
348,750.253,405.403,227.880
349,749.931,406.051,228.603
350,749.615,406.699,229.324
351,749.305,407.348,230.043
352,749.001,407.998,230.761
353,748.703,408.650,231.477
