point_index,x,y,arc_length_px
0,63.000,507.000,0.000
1,63.747,507.708,1.029
2,64.499,508.415,2.061
3,65.256,509.121,3.096
4,66.018,509.826,4.134
5,66.784,510.530,5.174
6,67.554,511.233,6.218
7,68.330,511.935,7.263
8,69.109,512.635,8.312
9,69.894,513.335,9.363
10,70.683,514.033,10.416
11,71.476,514.730,11.472
12,72.274,515.426,12.531
13,73.076,516.120,13.592
14,73.882,516.813,14.655
15,74.693,517.505,15.720
16,75.508,518.194,16.788
17,76.327,518.883,17.858
18,77.151,519.569,18.930
19,77.978,520.254,20.005
20,78.810,520.937,21.081
21,79.646,521.618,22.159
22,80.486,522.298,23.240
23,81.331,522.975,24.322
24,82.179,523.651,25.407
25,83.031,524.324,26.493
26,83.887,524.996,27.581
27,84.747,525.665,28.671
28,85.611,526.332,29.762
29,86.479,526.997,30.856
30,87.351,527.659,31.951
31,88.226,528.320,33.047
32,89.106,528.978,34.145
33,89.989,529.633,35.245
34,90.876,530.286,36.346
35,91.766,530.937,37.449
36,92.660,531.585,38.553
37,93.558,532.230,39.659
38,94.459,532.872,40.766
39,95.364,533.512,41.874
40,96.272,534.149,42.984
41,97.184,534.784,44.094
42,98.100,535.415,45.206
43,99.018,536.043,46.319
44,99.940,536.669,47.433
45,100.866,537.291,48.549
46,101.795,537.910,49.665
47,102.727,538.526,50.782
48,103.662,539.139,51.901
49,104.601,539.749,53.020
50,105.543,540.355,54.140
51,106.488,540.958,55.261
52,107.436,541.558,56.383
53,108.387,542.154,57.505
54,109.341,542.746,58.629
55,110.299,543.335,59.753
56,111.259,543.921,60.877
57,112.222,544.502,62.003
58,113.189,545.080,63.129
59,114.158,545.655,64.255
60,115.130,546.225,65.382
61,116.105,546.791,66.510
62,117.082,547.354,67.638
63,118.063,547.913,68.766
64,119.046,548.467,69.895
65,120.032,549.018,71.024
66,121.021,549.564,72.154
67,122.012,550.106,73.284
68,123.006,550.644,74.414
69,124.003,551.178,75.544
70,125.002,551.707,76.675
71,126.003,552.232,77.806
72,127.007,552.753,78.937
73,128.014,553.269,80.068
74,129.023,553.781,81.199
75,130.034,554.287,82.331
76,131.048,554.790,83.462
77,132.064,555.287,84.593
78,133.082,555.780,85.725
79,134.103,556.268,86.856
80,135.126,556.751,87.987
81,136.151,557.229,89.118
82,137.178,557.703,90.249
83,138.208,558.171,91.380
84,139.239,558.634,92.511
85,140.273,559.092,93.642
86,141.309,559.545,94.772
87,142.346,559.993,95.902
88,143.386,560.435,97.032
89,144.427,560.873,98.162
90,145.471,561.304,99.291
91,146.516,561.731,100.420
92,147.564,562.152,101.549
93,148.613,562.567,102.677
94,149.664,562.977,103.805
95,150.716,563.381,104.932
96,151.770,563.779,106.060
97,152.826,564.172,107.186
98,153.884,564.559,108.313
99,154.944,564.940,109.438
100,156.004,565.316,110.564
101,157.067,565.685,111.688
102,158.131,566.048,112.813
103,159.196,566.406,113.937
104,160.263,566.757,115.060
105,161.332,567.102,116.183
106,162.402,567.441,117.305
107,163.473,567.773,118.427
108,164.545,568.100,119.548
109,165.619,568.420,120.668
110,166.694,568.733,121.788
111,167.771,569.041,122.907
112,168.848,569.341,124.026
113,169.927,569.635,125.144
114,171.007,569.923,126.262
115,172.088,570.204,127.379
116,173.170,570.478,128.495
117,174.253,570.745,129.611
118,175.337,571.006,130.726
119,176.422,571.259,131.840
120,177.509,571.506,132.954
121,178.596,571.746,134.067
122,179.683,571.979,135.179
123,180.772,572.204,136.291
124,181.862,572.423,137.403
125,182.952,572.634,138.513
126,184.043,572.838,139.623
127,185.135,573.035,140.733
128,186.228,573.225,141.842
129,187.321,573.407,142.950
130,188.415,573.582,144.058
131,189.510,573.749,145.165
132,190.605,573.909,146.272
133,191.700,574.061,147.378
134,192.796,574.206,148.484
135,193.893,574.343,149.589
136,194.990,574.472,150.693
137,196.087,574.593,151.797
138,197.185,574.707,152.901
139,198.283,574.812,154.004
140,199.382,574.910,155.107
