point_index,x,y,arc_length_px
0,333.000,310.000,0.000
1,333.704,310.049,0.705
2,334.413,310.095,1.416
3,335.129,310.138,2.133
4,335.850,310.178,2.856
5,336.577,310.215,3.583
6,337.310,310.249,4.317
7,338.048,310.280,5.056
8,338.791,310.308,5.800
9,339.541,310.334,6.550
10,340.295,310.357,7.305
11,341.055,310.377,8.065
12,341.820,310.395,8.830
13,342.591,310.410,9.601
14,343.366,310.423,10.376
15,344.147,310.434,11.157
16,344.932,310.442,11.943
17,345.723,310.449,12.733
18,346.518,310.453,13.528
19,347.318,310.455,14.329
20,348.123,310.455,15.134
21,348.933,310.453,15.943
22,349.747,310.450,16.757
23,350.566,310.444,17.576
24,351.389,310.437,18.399
25,352.216,310.429,19.227
26,353.048,310.419,20.059
27,353.884,310.407,20.895
28,354.725,310.394,21.735
29,355.569,310.379,22.580
30,356.418,310.363,23.428
31,357.270,310.346,24.281
32,358.126,310.328,25.138
33,358.987,310.309,25.998
34,359.851,310.289,26.862
35,360.719,310.268,27.731
36,361.590,310.246,28.602
37,362.465,310.223,29.478
38,363.344,310.199,30.357
39,364.226,310.175,31.239
40,365.111,310.150,32.125
41,366.000,310.124,33.014
42,366.892,310.099,33.906
43,367.788,310.072,34.802
44,368.686,310.046,35.701
45,369.587,310.019,36.603
46,370.492,309.992,37.508
47,371.399,309.964,38.415
48,372.310,309.937,39.326
49,373.223,309.910,40.240
50,374.138,309.882,41.156
51,375.057,309.855,42.075
52,375.978,309.828,42.996
53,376.901,309.802,43.920
54,377.828,309.775,44.846
55,378.756,309.750,45.775
56,379.687,309.724,46.706
57,380.620,309.699,47.640
58,381.555,309.675,48.575
59,382.492,309.652,49.513
60,383.432,309.629,50.453
61,384.373,309.607,51.394
62,385.317,309.586,52.338
63,386.262,309.566,53.284
64,387.209,309.547,54.231
65,388.158,309.529,55.180
66,389.108,309.512,56.130
67,390.060,309.496,57.083
68,391.014,309.482,58.036
69,391.969,309.469,58.991
70,392.925,309.457,59.948
71,393.883,309.447,60.906
72,394.842,309.439,61.865
73,395.803,309.432,62.825
74,396.764,309.427,63.787
75,397.726,309.424,64.749
76,398.690,309.422,65.713
77,399.654,309.423,66.677
78,400.620,309.425,67.642
79,401.586,309.430,68.608
80,402.553,309.436,69.575
81,403.520,309.445,70.543
82,404.488,309.456,71.511
83,405.457,309.469,72.480
84,406.426,309.485,73.449
85,407.395,309.503,74.419
86,408.365,309.524,75.389
87,409.335,309.547,76.359
88,410.306,309.573,77.330
89,411.276,309.601,78.300
90,412.247,309.633,79.272
91,413.217,309.667,80.243
92,414.188,309.704,81.214
93,415.158,309.745,82.185
94,416.128,309.788,83.156
95,417.098,309.834,84.127
96,418.067,309.884,85.098
97,419.037,309.937,86.068
98,420.005,309.993,87.039
99,420.973,310.053,88.009
100,421.941,310.116,88.978
101,422.908,310.182,89.948
102,423.874,310.253,90.916
103,424.840,310.327,91.885
104,425.804,310.404,92.852
105,426.768,310.486,93.819
106,427.730,310.571,94.786
107,428.692,310.661,95.751
108,429.652,310.754,96.716
109,430.611,310.851,97.680
110,431.569,310.953,98.644
111,432.526,311.059,99.606
112,433.481,311.169,100.568
113,434.435,311.283,101.528
114,435.387,311.402,102.488
115,436.338,311.526,103.447
116,437.287,311.653,104.404
117,438.234,311.786,105.361
118,439.180,311.923,106.316
119,440.123,312.065,107.271
120,441.065,312.212,108.224
121,442.005,312.364,109.175
122,442.942,312.521,110.126
123,443.878,312.683,111.076
124,444.811,312.849,112.024
125,445.742,313.021,112.971
126,446.671,313.199,113.916
127,447.598,313.381,114.860
128,448.521,313.569,115.803
129,449.443,313.763,116.745
130,450.362,313.962,117.685
131,451.278,314.166,118.623
132,452.191,314.376,119.561
133,453.102,314.592,120.497
134,454.010,314.814,121.431
135,454.914,315.042,122.364
136,455.816,315.275,123.296
137,456.715,315.515,124.226
138,457.611,315.760,125.154
139,458.503,316.012,126.082
140,459.392,316.270,127.008
141,460.278,316.534,127.932
142,461.161,316.804,128.855
143,462.040,317.081,129.777
144,462.915,317.364,130.697
145,463.787,317.654,131.616
146,464.656,317.950,132.533
147,465.520,318.254,133.449
148,466.381,318.563,134.364
149,467.238,318.880,135.278
150,468.091,319.204,136.190
151,468.940,319.534,137.101
152,469.785,319.872,138.011
153,470.626,320.216,138.920
154,471.462,320.568,139.827
155,472.295,320.927,140.734
156,473.123,321.293,141.639
157,473.947,321.666,142.544
158,474.766,322.047,143.447
159,475.581,322.436,144.350
160,476.391,322.832,145.251
161,477.196,323.236,146.152
162,477.997,323.647,147.053
163,478.793,324.066,147.952
164,479.584,324.493,148.851
165,480.370,324.928,149.750
166,481.151,325.371,150.648
167,481.928,325.821,151.545
168,482.699,326.280,152.442
169,483.465,326.747,153.340
170,484.225,327.223,154.236
171,484.980,327.706,155.133
172,485.730,328.198,156.030
173,486.475,328.699,156.927
174,487.214,329.208,157.824
175,487.947,329.725,158.722
176,488.675,330.251,159.620
177,489.397,330.786,160.518
178,490.113,331.330,161.418
179,490.823,331.882,162.318
180,491.528,332.444,163.218
181,492.226,333.014,164.120
182,492.919,333.594,165.023
183,493.605,334.182,165.927
184,494.285,334.780,166.832
185,494.959,335.387,167.739
186,495.626,336.003,168.648
187,496.287,336.629,169.558
188,496.942,337.264,170.470
189,497.590,337.909,171.385
190,498.232,338.563,172.301
191,498.867,339.227,173.220
192,499.495,339.901,174.141
193,500.116,340.584,175.065
194,500.731,341.278,175.991
195,501.339,341.981,176.921
196,501.939,342.694,177.853
197,502.533,343.418,178.789
198,503.120,344.151,179.728
199,503.699,344.894,180.671
200,504.273,345.646,181.616
201,504.841,346.405,182.564
202,505.404,347.170,183.514
203,505.963,347.939,184.465
204,506.520,348.711,185.416
205,507.073,349.484,186.368
206,507.626,350.257,187.318
207,508.178,351.030,188.267
208,508.729,351.799,189.214
209,509.282,352.565,190.158
210,509.836,353.324,191.098
211,510.393,354.077,192.035
212,510.952,354.822,192.966
213,511.516,355.557,193.893
214,512.085,356.281,194.813
215,512.658,356.993,195.727
216,513.239,357.690,196.635
217,513.826,358.372,197.535
218,514.421,359.038,198.428
219,515.025,359.686,199.313
220,515.638,360.314,200.191
221,516.262,360.921,201.061
222,516.896,361.505,201.924
223,517.542,362.067,202.780
224,518.201,362.603,203.629
225,518.873,363.112,204.472
226,519.559,363.594,205.311
227,520.260,364.046,206.145
228,520.977,364.468,206.977
229,521.711,364.858,207.807
230,522.461,365.214,208.638
231,523.229,365.537,209.471
232,524.012,365.830,210.307
233,524.812,366.093,211.149
234,525.625,366.329,211.996
235,526.453,366.540,212.850
236,527.293,366.728,213.711
237,528.145,366.894,214.579
238,529.009,367.040,215.455
239,529.883,367.169,216.339
240,530.766,367.282,217.229
241,531.659,367.380,218.127
242,532.559,367.467,219.031
243,533.466,367.544,219.942
244,534.379,367.613,220.858
245,535.298,367.675,221.779
246,536.222,367.732,222.704
247,537.149,367.788,223.633
248,538.079,367.842,224.565
249,539.011,367.898,225.498
250,539.945,367.957,226.434
251,540.878,368.020,227.370
252,541.812,368.091,228.306
253,542.744,368.171,229.241
254,543.674,368.261,230.176
255,544.601,368.364,231.108
256,545.524,368.481,232.039
257,546.443,368.615,232.968
258,547.357,368.767,233.894
259,548.264,368.939,234.817
260,549.164,369.134,235.738
261,550.056,369.352,236.656
262,550.939,369.596,237.573
263,551.813,369.868,238.488
264,552.676,370.170,239.402
265,553.529,370.503,240.317
266,554.369,370.869,241.234
267,555.196,371.271,242.153
268,556.009,371.710,243.078
269,556.808,372.188,244.009
270,557.592,372.708,244.949
271,558.359,373.270,245.900
272,559.108,373.874,246.863
273,559.838,374.517,247.835
274,560.545,375.195,248.815
275,561.228,375.905,249.800
276,561.884,376.643,250.787
277,562.511,377.406,251.775
278,563.107,378.190,252.759
279,563.669,378.991,253.738
280,564.195,379.807,254.709
281,564.684,380.633,255.669
282,565.132,381.467,256.615
283,565.538,382.303,257.545
284,565.899,383.140,258.457
285,566.213,383.974,259.348
286,566.478,384.800,260.216
287,566.691,385.617,261.059
288,566.851,386.419,261.877
289,566.954,387.203,262.668
290,566.999,387.966,263.433
291,566.985,388.706,264.172
292,566.911,389.422,264.892
293,566.780,390.114,265.597
294,566.594,390.785,266.293
295,566.355,391.434,266.985
296,566.063,392.064,267.678
297,565.722,392.673,268.377
298,565.332,393.265,269.085
299,564.897,393.838,269.806
300,564.416,394.396,270.542
301,563.893,394.937,271.295
302,563.328,395.463,272.067
303,562.724,395.976,272.859
304,562.083,396.475,273.671
305,561.406,396.963,274.505
306,560.695,397.439,275.361
307,559.952,397.904,276.238
308,559.179,398.360,277.136
309,558.377,398.808,278.054
310,557.548,399.248,278.992
311,556.695,399.681,279.949
312,555.818,400.108,280.925
313,554.919,400.531,281.918
314,554.002,400.949,282.926
315,553.066,401.364,283.950
316,552.114,401.777,284.987
317,551.148,402.188,286.038
318,550.169,402.599,287.099
319,549.180,403.011,288.170
320,548.182,403.423,289.251
321,547.176,403.838,290.338
322,546.165,404.256,291.432
323,545.151,404.678,292.531
324,544.135,405.105,293.633
325,543.119,405.538,294.737
326,542.105,405.978,295.843
327,541.094,406.425,296.948
328,540.088,406.881,298.052
329,539.090,407.346,299.153
330,538.101,407.821,300.251
331,537.122,408.308,301.344
332,536.156,408.807,302.431
333,535.204,409.319,303.512
334,534.269,409.845,304.585
335,533.351,410.385,305.651
336,532.451,410.940,306.708
337,531.569,411.510,307.757
338,530.706,412.094,308.800
339,529.861,412.692,309.835
340,529.034,413.303,310.864
341,528.224,413.928,311.886
342,527.433,414.565,312.902
343,526.659,415.214,313.912
344,525.904,415.876,314.916
345,525.165,416.549,315.915
346,524.445,417.234,316.909
347,523.742,417.930,317.899
348,523.056,418.636,318.883
349,522.388,419.353,319.863
350,521.737,420.080,320.839
351,521.103,420.816,321.811
