CurveID,PointID,PosX,PosY,PosZ,TanX,TanY,TanZ
0,0,163.4000,-59.3000,0.0000,-0.7324,-0.6808,0.0
0,1,162.6654,-59.9828,0.0000,-0.8249,-0.5653,0.0
0,2,161.9451,-60.4765,0.0000,-0.9081,-0.4187,0.0
0,3,161.2363,-60.8033,0.0000,-0.9677,-0.2521,0.0
0,4,160.5360,-60.9857,0.0000,-0.9962,-0.0868,0.0
0,5,159.8414,-61.0462,0.0000,-0.9984,0.0564,0.0
0,6,159.1496,-61.0072,0.0000,-0.9862,0.1656,0.0
0,7,158.4577,-60.8910,0.0000,-0.9711,0.2388,0.0
0,8,157.7627,-60.7201,0.0000,-0.9605,0.2784,0.0
0,9,157.0618,-60.5170,0.0000,-0.9578,0.2875,0.0
0,10,156.3521,-60.3040,0.0000,-0.9635,0.2677,0.0
0,11,155.6307,-60.1035,0.0000,-0.9756,0.2193,0.0
0,12,154.8947,-59.9381,0.0000,-0.9899,0.1419,0.0
0,13,154.1412,-59.8300,0.0000,-0.9993,0.0365,0.0
0,14,153.3674,-59.8018,0.0000,-0.9969,-0.0790,0.0
0,15,152.5727,-59.8647,0.0000,-0.9857,-0.1685,0.0
0,16,151.7631,-60.0031,0.0000,-0.9729,-0.2311,0.0
0,17,150.9453,-60.1974,0.0000,-0.9627,-0.2707,0.0
0,18,150.1259,-60.4279,0.0000,-0.9569,-0.2903,0.0
0,19,149.3116,-60.6748,0.0000,-0.9568,-0.2908,0.0
0,20,148.5092,-60.9187,0.0000,-0.9624,-0.2715,0.0
0,21,147.7253,-61.1398,0.0000,-0.9734,-0.2293,0.0
0,22,146.9666,-61.3186,0.0000,-0.9874,-0.1585,0.0
0,23,146.2398,-61.4352,0.0000,-0.9987,-0.0508,0.0
0,24,145.5517,-61.4702,0.0000,-0.9947,0.1027,0.0
0,25,144.9089,-61.4039,0.0000,-0.9532,0.3022,0.0
0,26,144.3181,-61.2166,0.0000,-0.8513,0.5247,0.0
0,27,143.7860,-60.8886,0.0000,-0.7050,0.7092,0.0
0,28,143.3133,-60.4131,0.0000,-0.5975,0.8019,0.0
0,29,142.8784,-59.8295,0.0000,-0.5512,0.8343,0.0
0,30,142.4549,-59.1884,0.0000,-0.5607,0.8280,0.0
0,31,142.0159,-58.5402,0.0000,-0.6223,0.7828,0.0
0,32,141.5350,-57.9352,0.0000,-0.7313,0.6820,0.0
0,33,140.9859,-57.4231,0.0000,-0.8410,0.5410,0.0
0,34,140.3618,-57.0217,0.0000,-0.9060,0.4233,0.0
0,35,139.6830,-56.7045,0.0000,-0.9380,0.3466,0.0
0,36,138.9717,-56.4417,0.0000,-0.9495,0.3136,0.0
0,37,138.2502,-56.2034,0.0000,-0.9458,0.3248,0.0
0,38,137.5405,-55.9597,0.0000,-0.9243,0.3817,0.0
0,39,136.8651,-55.6807,0.0000,-0.8764,0.4816,0.0
0,40,136.2439,-55.3394,0.0000,-0.8114,0.5845,0.0
0,41,135.6782,-54.9318,0.0000,-0.7447,0.6674,0.0
0,42,135.1590,-54.4666,0.0000,-0.6834,0.7300,0.0
0,43,134.6776,-53.9523,0.0000,-0.6323,0.7747,0.0
0,44,134.2248,-53.3976,0.0000,-0.5940,0.8045,0.0
0,45,133.7919,-52.8113,0.0000,-0.5694,0.8221,0.0
0,46,133.3699,-52.2019,0.0000,-0.5586,0.8294,0.0
0,47,132.9498,-51.5782,0.0000,-0.5614,0.8275,0.0
0,48,132.5228,-50.9487,0.0000,-0.5773,0.8165,0.0
0,49,132.0799,-50.3223,0.0000,-0.6054,0.7959,0.0
0,50,131.6122,-49.7074,0.0000,-0.6447,0.7644,0.0
0,51,131.1107,-49.1128,0.0000,-0.6932,0.7207,0.0
0,52,130.5666,-48.5472,0.0000,-0.7483,0.6634,0.0
0,53,129.9710,-48.0191,0.0000,-0.8060,0.5919,0.0
0,54,129.3148,-47.5373,0.0000,-0.8612,0.5082,0.0
0,55,128.5909,-47.1101,0.0000,-0.9051,0.4252,0.0
