point_index,x,y,arc_length_px
0,1634.000,593.000,0.000
1,1633.081,593.957,1.326
2,1632.165,594.881,2.628
3,1631.251,595.774,3.906
4,1630.339,596.635,5.160
5,1629.430,597.466,6.391
6,1628.524,598.267,7.601
7,1627.619,599.037,8.789
8,1626.717,599.778,9.956
9,1625.818,600.490,11.104
10,1624.920,601.173,12.232
11,1624.024,601.828,13.341
12,1623.131,602.455,14.433
13,1622.239,603.055,15.507
14,1621.350,603.628,16.566
15,1620.462,604.175,17.608
16,1619.576,604.695,18.635
17,1618.692,605.189,19.648
18,1617.810,605.659,20.648
19,1616.929,606.103,21.634
20,1616.050,606.523,22.609
21,1615.172,606.919,23.572
22,1614.296,607.292,24.524
23,1613.421,607.642,25.466
24,1612.548,607.968,26.398
25,1611.676,608.273,27.322
26,1610.805,608.556,28.237
27,1609.936,608.817,29.145
28,1609.067,609.057,30.046
29,1608.200,609.277,30.941
30,1607.334,609.477,31.830
31,1606.469,609.657,32.713
32,1605.604,609.817,33.592
33,1604.741,609.959,34.467
34,1603.879,610.082,35.339
35,1603.017,610.188,36.207
36,1602.156,610.276,37.072
37,1601.295,610.346,37.936
38,1600.436,610.400,38.797
39,1599.576,610.438,39.657
40,1598.718,610.460,40.516
41,1597.859,610.466,41.374
42,1597.002,610.458,42.232
43,1596.144,610.435,43.090
44,1595.287,610.397,43.948
45,1594.430,610.346,44.807
46,1593.573,610.282,45.666
47,1592.716,610.205,46.526
48,1591.859,610.115,47.388
49,1591.003,610.013,48.250
50,1590.146,609.900,49.115
51,1589.289,609.775,49.980
52,1588.432,609.640,50.848
53,1587.575,609.495,51.717
54,1586.717,609.339,52.589
55,1585.860,609.174,53.462
56,1585.001,609.000,54.338
57,1584.143,608.818,55.216
58,1583.284,608.627,56.096
59,1582.424,608.429,56.978
60,1581.564,608.223,57.863
61,1580.703,608.010,58.750
62,1579.841,607.791,59.639
63,1578.979,607.566,60.530
64,1578.116,607.335,61.424
65,1577.251,607.099,62.319
66,1576.386,606.858,63.217
67,1575.520,606.613,64.117
68,1574.653,606.364,65.019
69,1573.785,606.111,65.924
70,1572.916,605.855,66.830
71,1572.045,605.597,67.738
72,1571.174,605.337,68.648
73,1570.300,605.074,69.559
74,1569.426,604.811,70.473
75,1568.550,604.546,71.388
76,1567.673,604.281,72.304
77,1566.794,604.016,73.222
78,1565.913,603.751,74.142
79,1565.031,603.487,75.062
80,1564.147,603.224,75.985
81,1563.262,602.963,76.908
82,1562.374,602.704,77.832
83,1561.485,602.447,78.758
84,1560.594,602.194,79.685
85,1559.700,601.943,80.612
86,1558.805,601.697,81.541
87,1557.908,601.454,82.470
88,1557.008,601.216,83.401
89,1556.107,600.984,84.332
90,1555.203,600.756,85.264
91,1554.297,600.535,86.197
92,1553.388,600.320,87.131
93,1552.477,600.111,88.065
94,1551.563,599.910,89.001
95,1550.647,599.717,89.937
96,1549.729,599.531,90.874
97,1548.808,599.354,91.812
98,1547.884,599.186,92.751
99,1546.957,599.027,93.692
100,1546.027,598.878,94.633
101,1545.095,598.739,95.576
102,1544.160,598.610,96.520
103,1543.222,598.493,97.465
104,1542.280,598.387,98.412
105,1541.336,598.293,99.361
106,1540.388,598.211,100.312
107,1539.438,598.142,101.266
108,1538.484,598.086,102.221
109,1537.527,598.044,103.179
110,1536.566,598.015,104.140
111,1535.602,598.001,105.104
112,1534.635,598.002,106.072
113,1533.664,598.018,107.043
114,1532.690,598.048,108.018
115,1531.712,598.093,108.996
116,1530.732,598.152,109.978
117,1529.748,598.224,110.964
118,1528.762,598.309,111.954
119,1527.773,598.407,112.948
120,1526.782,598.517,113.945
121,1525.788,598.639,114.947
122,1524.791,598.773,115.952
123,1523.793,598.918,116.961
124,1522.793,599.074,117.973
125,1521.790,599.240,118.990
126,1520.786,599.417,120.009
127,1519.780,599.603,121.032
128,1518.773,599.799,122.058
129,1517.764,600.003,123.088
130,1516.754,600.217,124.120
131,1515.743,600.438,125.155
132,1514.731,600.668,126.193
133,1513.717,600.905,127.234
134,1512.703,601.149,128.276
135,1511.689,601.399,129.322
136,1510.674,601.657,130.369
137,1509.658,601.920,131.418
138,1508.642,602.189,132.469
139,1507.627,602.463,133.521
140,1506.611,602.742,134.574
141,1505.595,603.025,135.629
142,1504.579,603.313,136.684
143,1503.564,603.604,137.741
144,1502.549,603.899,138.797
145,1501.535,604.197,139.854
146,1500.522,604.497,140.911
147,1499.510,604.800,141.968
148,1498.498,605.104,143.024
149,1497.488,605.410,144.080
150,1496.479,605.718,145.134
151,1495.471,606.026,146.188
152,1494.465,606.334,147.240
153,1493.461,606.643,148.291
154,1492.458,606.951,149.340
155,1491.457,607.258,150.387
156,1490.458,607.564,151.432
157,1489.462,607.869,152.474
158,1488.467,608.172,153.513
159,1487.476,608.473,154.550
160,1486.486,608.771,155.583
161,1485.499,609.066,156.613
162,1484.515,609.358,157.640
163,1483.534,609.646,158.662
164,1482.557,609.930,159.680
165,1481.582,610.210,160.694
166,1480.610,610.485,161.704
167,1479.642,610.754,162.709
168,1478.678,611.018,163.709
169,1477.717,611.276,164.704
170,1476.760,611.528,165.693
171,1475.807,611.773,166.677
172,1474.858,612.011,167.656
173,1473.913,612.241,168.628
174,1472.973,612.464,169.595
175,1472.036,612.679,170.555
176,1471.105,612.884,171.509
177,1470.178,613.081,172.456
178,1469.256,613.269,173.397
179,1468.339,613.447,174.331
180,1467.427,613.615,175.259
181,1466.521,613.772,176.179
182,1465.619,613.919,177.092
183,1464.724,614.054,177.998
184,1463.833,614.178,178.897
185,1462.949,614.290,179.788
186,1462.070,614.390,180.673
187,1461.197,614.477,181.550
188,1460.331,614.551,182.420
189,1459.470,614.611,183.282
190,1458.616,614.658,184.137
191,1457.769,614.690,184.986
192,1456.928,614.708,185.827
193,1456.094,614.711,186.661
194,1455.266,614.699,187.488
195,1454.446,614.671,188.309
196,1453.633,614.627,189.123
197,1452.827,614.566,189.932
198,1452.028,614.489,190.734
199,1451.237,614.395,191.531
200,1450.454,614.283,192.322
201,1449.678,614.153,193.108
202,1448.911,614.005,193.890
203,1448.151,613.838,194.668
