point_index,x,y,arc_length_px
0,1096.000,205.000,0.000
1,1095.153,204.629,0.925
2,1094.302,204.264,1.850
3,1093.449,203.906,2.776
4,1092.593,203.554,3.702
5,1091.734,203.208,4.627
6,1090.872,202.869,5.553
7,1090.008,202.536,6.480
8,1089.141,202.209,7.406
9,1088.272,201.889,8.333
10,1087.400,201.575,9.259
11,1086.525,201.268,10.186
12,1085.648,200.967,11.114
13,1084.769,200.672,12.041
14,1083.887,200.384,12.968
15,1083.003,200.102,13.896
16,1082.117,199.826,14.824
17,1081.229,199.557,15.752
18,1080.338,199.294,16.681
19,1079.446,199.038,17.609
20,1078.551,198.788,18.538
21,1077.655,198.545,19.467
22,1076.756,198.308,20.396
23,1075.856,198.078,21.326
24,1074.954,197.854,22.255
25,1074.050,197.637,23.185
26,1073.144,197.426,24.115
27,1072.236,197.221,25.045
28,1071.327,197.023,25.976
29,1070.417,196.832,26.906
30,1069.504,196.647,27.837
31,1068.591,196.469,28.768
32,1067.676,196.297,29.699
33,1066.759,196.132,30.630
34,1065.841,195.973,31.562
35,1064.922,195.821,32.494
36,1064.001,195.675,33.426
37,1063.080,195.536,34.358
38,1062.157,195.404,35.290
39,1061.233,195.278,36.223
40,1060.308,195.159,37.155
41,1059.382,195.046,38.088
42,1058.455,194.940,39.021
43,1057.527,194.840,39.954
44,1056.598,194.748,40.887
45,1055.669,194.661,41.821
46,1054.739,194.582,42.755
47,1053.808,194.509,43.688
48,1052.876,194.443,44.622
49,1051.944,194.383,45.557
50,1051.011,194.330,46.491
51,1050.078,194.284,47.425
52,1049.144,194.244,48.360
53,1048.210,194.211,49.295
54,1047.275,194.185,50.230
55,1046.340,194.166,51.165
56,1045.405,194.153,52.100
57,1044.470,194.147,53.036
58,1043.534,194.148,53.971
59,1042.598,194.155,54.907
60,1041.663,194.169,55.843
61,1040.727,194.190,56.779
62,1039.791,194.218,57.715
63,1038.855,194.252,58.651
64,1037.920,194.293,59.588
65,1036.984,194.341,60.524
66,1036.049,194.396,61.461
67,1035.114,194.458,62.398
68,1034.180,194.526,63.335
69,1033.246,194.601,64.272
70,1032.312,194.683,65.209
71,1031.379,194.772,66.147
72,1030.446,194.868,67.085
73,1029.514,194.970,68.023
74,1028.582,195.079,68.961
75,1027.651,195.196,69.899
76,1026.721,195.319,70.837
77,1025.791,195.448,71.775
78,1024.863,195.585,72.714
79,1023.935,195.729,73.653
80,1023.008,195.879,74.592
81,1022.082,196.037,75.531
82,1021.157,196.201,76.471
83,1020.233,196.372,77.410
84,1019.311,196.551,78.350
85,1018.389,196.736,79.290
86,1017.469,196.928,80.230
87,1016.549,197.127,81.171
88,1015.632,197.332,82.111
89,1014.715,197.545,83.052
90,1013.800,197.765,83.993
91,1012.886,197.992,84.935
92,1011.974,198.226,85.876
93,1011.064,198.466,86.818
94,1010.155,198.714,87.760
95,1009.247,198.969,88.703
96,1008.342,199.231,89.645
97,1007.438,199.499,90.588
98,1006.536,199.775,91.532
99,1005.635,200.058,92.475
100,1004.737,200.348,93.419
101,1003.841,200.645,94.364
102,1002.946,200.949,95.308
103,1002.054,201.260,96.253
104,1001.163,201.578,97.199
105,1000.275,201.903,98.145
106,999.389,202.235,99.091
107,998.505,202.574,100.038
108,997.624,202.921,100.985
109,996.745,203.274,101.932
110,995.868,203.635,102.880
111,994.994,204.003,103.829
112,994.122,204.378,104.778
113,993.253,204.760,105.727
114,992.387,205.150,106.677
115,991.525,205.547,107.626
116,990.667,205.953,108.575
117,989.813,206.366,109.524
118,988.963,206.788,110.473
119,988.119,207.219,111.420
120,987.280,207.658,112.367
121,986.447,208.107,113.314
122,985.620,208.564,114.259
123,984.799,209.031,115.203
124,983.985,209.508,116.147
125,983.178,209.994,117.089
126,982.379,210.491,118.030
127,981.587,210.998,118.970
128,980.804,211.515,119.908
129,980.029,212.043,120.846
130,979.263,212.582,121.782
131,978.507,213.132,122.717
132,977.760,213.693,123.651
133,977.024,214.265,124.584
134,976.297,214.850,125.517
135,975.582,215.446,126.448
136,974.877,216.055,127.379
137,974.184,216.676,128.310
138,973.503,217.309,129.240
139,972.834,217.955,130.170
140,972.177,218.614,131.100
141,971.534,219.286,132.031
142,970.903,219.972,132.962
143,970.287,220.671,133.894
144,969.684,221.384,134.828
145,969.095,222.111,135.763
146,968.522,222.852,136.701
147,967.963,223.608,137.641
148,967.420,224.378,138.583
149,966.892,225.164,139.529
150,966.380,225.963,140.479
151,965.884,226.777,141.432
152,965.402,227.604,142.389
153,964.933,228.443,143.350
154,964.478,229.293,144.314
